Item,Description,Link
Peristaltic Pump,"We use a portable one with its own battery (Wattera, USA) but a benchtop pump will work as well. A peristaltic pump can provide positive or negative pressure depending on the filtration setup. The pump comes with its own tubing specifics (i.e. inner and outer perimeter). The tubing should be high durability silicone rubber and not CFLEX TPE (which sheds plastic).",https://waterra.com/peristaltic-groundwater-sampling-pump/
Filter Holder,"We use a filter holder (Pall, USA) to house the filter paper and apply “positive pressure” on it where water is “pushed through” the filter paper. Benchtop wise, a Büchner funnel with a vacuum source can also be easily set up. The filter holder should be regularly cleaned through positive water and air pressure. Remove any debris from the filter holder prior to use.",https://www.cytivalifesciences.com/en/us/shop/lab-filtration/filter-funnels-and-holders/filter-holders/47-mm-with-nylon-membrane-polycarbonate-p-36323
Filters,"A myriad of options with mainly considerations on materials and pore size. We use 47-mm diameter, 1-micron hydrophilic polycarbonate filters (Sterilech, USA). Polycarbonate is dissolvable in chloroform, making it preferable in chloroform-based DNA extraction methods (details in extraction part). 1-micron pore size seems to be the most used diameter although in the literature it can range from 0.45 to 10 micron.",https://www.sterlitech.com/hydrophilic-polycarbonate-membrane-filter-pct1047100.html
Sampling Bottle,"We use 1 litre plastic bottles (Nalgene, USA). When collecting three bottle replicates, 4 bottles are required per sampling site (3 field replicates and one field negative control prefilled with dH2O).",https://www.thermofisher.com/order/catalog/product/2003-0032
